,rec1,rec2,rec3,rec4,rec5
4092,1833,10419,2358,8665,16350
4093,6277,11269,5976,4943,13036
4094,4428,12686,11342,9707,16665
4095,5481,360,9328,576,7501
4096,1951,4305,16019,16487,10234
4097,11121,4772,14136,12639,16655
4098,10282,10348,13509,10953,7166
4099,1951,4305,11486,16019,11044
4100,16254,11298,10250,15797,16920
4101,13295,13509,8665,16350,6268
4102,16695,629,9723,1008,3278
4103,13509,3889,6268,14514,5020
4104,15799,1765,7870,4428,2966
4105,8892,15799,9615,16138,15638
4106,6386,16092,3138,11333,15674
4107,10122,1173,9289,7484,8542
4108,4475,7514,16611,15526,11778
4109,13509,6268,1814,14514,5020
4110,2434,5288,1808,16749,14195
4111,16092,3193,12639,4428,11342
4112,5027,4475,15951,567,3763
4113,7913,2009,1962,17617,16076
4114,4254,2435,14136,16383,7140
4115,13509,6268,13208,14514,5020
4116,9167,16220,2016,16385,11991
4117,2947,3467,16307,4463,15055
4118,16138,9615,15799,8892,15638
4119,10450,1985,10916,14426,4224
4120,15482,16385,5977,15321,13417
4121,5976,4093,7976,6277,11201
4122,6386,17342,17449,17377,10377
4123,5344,4475,7514,5282,8663
4124,6386,9193,3138,10377,9673
4125,9261,6463,11991,5871,12012
4126,16406,16405,6453,16407,16408
4127,15372,5510,14006,4279,14371
4128,4772,17401,14136,1138,15555
4129,13881,8696,3684,15678,12993
4130,13145,14926,6754,9920,7870
4131,1951,4305,16019,16487,10234
4132,16092,3138,12490,15674,5242
4133,10769,15372,14006,16466,5573
4134,6135,11096,11333,12490,15053
4135,6386,9193,17062,3138,15140
4136,5344,8665,5370,8663,14514
4137,16234,16092,9577,12490,900
4138,1611,17667,11387,6849,15067
4139,10188,4943,11269,15258,6277
4140,1951,4305,6119,12382,490
4141,1833,15482,7120,12092,12620
4142,13295,8665,16350,6268,5282
4143,6386,3138,7501,3867,6590
4144,15888,16092,16385,13417,7119
4145,16692,3660,12639,16019,1665
4146,13408,8466,4146,14071,5570
4147,7067,10250,7057,5643,3821
4148,14055,4847,15734,2236,12573
4149,9362,14615,12694,6444,12212
4150,17273,3663,17342,11121,2032
4151,12575,14442,2939,2752,16692
4152,9167,12552,16068,16220,6422
4153,14559,15372,14006,10250,4279
4154,4154,13453,11269,13615,16110
4155,12694,6083,7549,12212,16946
4156,16525,3766,6305,10408,8388
4157,7147,10769,10250,2220,7057
4158,5253,13193,12273,2841,14624
4159,16092,12639,3193,4428,12686
4160,8967,15638,13018,4428,11342
4161,11918,16853,9193,12330,16259
4162,15799,16138,8892,9615,15638
4163,12575,4261,1951,16789,8058
4164,6135,11333,2032,12490,8665
4165,15799,16138,13614,11121,3077
4166,12575,1951,8058,2939,306
4167,2530,16789,16676,12941,1969
4168,13509,6829,6268,14514,15239
4169,16138,9615,8892,15799,15638
4170,5253,13193,12273,7564,15190
4171,9881,13088,6300,13145,15372
4172,1243,16110,9250,1838,6251
4173,4475,4373,1951,13208,700
4174,13509,6268,6801,14514,5020
4175,15888,16092,16385,13417,7119
4176,6019,15996,4093,6277,16110
4177,9881,7147,11121,14006,12008
4178,6386,3458,3138,3465,10377
4179,12516,5370,12515,2277,15979
4180,13509,1947,6268,14514,15237
4181,1820,7103,2110,1267,4428
4182,5344,12273,16330,14822,6074
4183,16234,3964,16385,16328,15321
4184,13295,4373,1951,16436,5854
4185,13295,16673,14924,12240,8665
4186,8892,7049,4428,13551,2966
4187,5481,16234,360,10761,9328
4188,1951,4305,7501,3660,530
4189,15968,3138,2851,10377,9673
4190,17103,8039,3841,6248,1664
4191,16138,8892,9615,15799,15638
4192,14950,17045,14006,10250,15797
4193,8967,1951,16008,8779,4305
4194,8173,16694,2752,6704,8285
4195,6386,3138,13955,10377,9673
4196,12575,16789,2939,306,2752
4197,16642,17649,16695,3278,6662
4198,7346,13205,10761,3513,14593
4199,5481,4254,2435,9328,7501
4200,9615,15799,8892,16138,5995
4201,13509,16237,6268,14514,5020
4202,12273,7564,15190,14551,1421
4203,5027,232,3763,9680,11606
4204,6886,2368,2851,7501,3660
4205,5481,16234,10122,8380,11650
4206,10282,13433,17499,16511,7509
4207,9193,14721,16259,15140,9213
4208,13509,637,6268,354,5610
4209,7335,10932,13983,16184,10244
4210,13509,7335,10932,6268,14514
4211,6386,3138,17542,9579,10377
4212,8449,4254,7147,7837,2435
4213,2840,16220,9167,2016,9722
4214,14716,4521,2910,9324,9163
4215,4057,2800,11890,10054,930
4216,13509,3024,6268,5966,14514
4217,2949,16234,9577,900,10079
4218,13614,13135,12008,17472,8309
4219,7067,16254,15372,4279,15797
4220,11678,11677,14941,5803,11679
4221,15824,14319,8062,14815,15631
4222,8892,15799,9615,16138,3024
4223,14496,17565,14893,11170,4428
4224,2419,7501,6590,4428,12995
4225,12515,12517,11001,4373,1951
4226,6497,2671,9383,10616,13974
4227,12575,1951,13135,2939,16963
4228,16943,6632,15552,9167,11316
4229,11677,7504,5745,16307,5002
4230,6386,5338,6886,16130,3138
4231,4254,703,2435,14136,16383
4232,2840,9167,3024,2435,9086
4233,10014,4935,17259,15748,8070
4234,16138,8892,15799,9615,10545
4235,4373,1951,15102,5854,16835
4236,12795,16695,232,3763,3278
4237,3763,11606,148,1546,5381
4238,13988,3463,15038,6884,3324
4239,17259,16031,3181,4239,6445
4240,8892,16138,9094,15638,13593
4241,10114,4521,3081,2771,1745
4242,9529,7096,2946,15478,15738
4243,9660,1833,2131,16268,15602
4244,13509,5127,12639,5036,3169
4245,410,2376,9722,12853,3946
4246,3763,148,15831,5381,7379
4247,1781,5370,7021,14485,12607
4248,410,16692,7021,14295,11393
4249,12008,7012,2101,16655,5643
4250,8380,10114,15506,1745,6597
4251,14467,17061,16307,16125,8811
4252,13509,3620,6268,14514,4735
4253,12660,3756,13509,3925,13290
4254,6093,2435,14136,13507,12850
4255,5481,10122,16254,9328,7501
4256,16857,2771,3820,2101,13593
4257,16673,14791,7564,15049,2841
4258,16324,10349,2829,7452,16483
4259,6693,13193,12273,2841,12836
4260,13193,12273,7564,15190,2841
4261,12575,1951,13135,16789,6093
4262,15874,2947,7346,3467,5745
4263,1951,4305,7501,3660,7612
4264,13509,15835,6268,14514,5020
4265,9193,16695,2253,16259,5391
4266,5253,12273,7564,6074,14551
4267,5253,12273,7564,6074,14551
4268,4475,7514,16673,13630,15526
4269,11944,11945,13464,12084,2065
4270,10114,8380,15506,17667,1745
4271,16173,13661,6300,13145,7147
4272,4373,1951,15102,5854,16379
4273,6268,5121,14514,5020,4436
4274,12573,14055,4847,15734,3481
4275,2236,14673,14055,4847,3300
4276,15055,3720,2223,2522,6452
4277,12575,1951,16789,13135,2939
4278,9881,13145,10769,14006,14371
4279,7067,13145,16254,14006,15797
4280,9134,7147,13145,16264,15372
4281,17259,16031,3181,4239,6445
4282,12660,3756,11269,13615,3925
4283,17045,7001,11638,10250,4192
4284,6386,3138,2851,15053,10377
4285,1611,8380,1745,11387,15067
4286,1833,7120,11333,12490,8665
4287,1833,3662,3031,10149,13691
4288,11096,6135,11333,12490,4289
4289,1833,3031,10149,4287,3032
4290,12575,1951,2939,306,2771
4291,16857,2771,2101,13593,2938
4292,16234,2368,6523,16092,9577
4293,9577,3660,4772,9607,12639
4294,16234,2368,12070,848,16092
4295,1833,7120,15482,160,10149
4296,8449,11298,10250,2220,15797
4297,13509,13882,3222,6268,14514
4298,8925,13509,2208,11285,5020
4299,6386,3138,3809,11146,11076
4300,6386,3138,2851,10377,12079
4301,12795,232,3763,9680,148
4302,10419,17273,9660,9679,2032
4303,15258,1753,1243,17103,6251
4304,1951,2939,4305,16019,16487
4305,1951,2939,4772,4611,16019
4306,6277,11269,5976,4943,13036
4307,9881,7147,14006,14371,4318
4308,6632,11316,8951,2052,15074
4309,10419,3300,10951,1487,15821
4310,13509,6268,10879,14514,5020
4311,4920,1669,2352,10361,17687
4312,6386,16853,3138,10377,9673
4313,16853,9193,17342,16259,15140
4314,15824,6386,2530,3138,1969
4315,10769,4987,14371,4318,15797
4316,15888,16092,16385,7119,15867
4317,14716,4521,9324,14039,15442
4318,7067,13145,16254,14006,15797
4319,5481,4254,2435,9328,7501
4320,9069,10039,13577,12435,17377
4321,15881,10609,5391,5402,11916
4322,7501,561,9245,6590,4428
4323,12575,16789,4261,2939,12008
4324,16238,12573,2236,4847,14055
4325,14673,12575,13963,14442,2939
4326,12575,3745,9289,2939,13927
4327,13509,7452,6268,16960,11965
4328,5253,13193,12273,7564,2841
4329,12575,3745,9289,2939,12676
4330,13509,5370,6268,7503,14514
4331,12575,8058,16789,1951,13135
4332,13509,15455,354,6268,14514
4333,16405,16406,16410,6453,16407
4334,16407,4728,10430,2277,15842
4335,6453,16762,4728,10563,7021
4336,8453,14123,17061,16125,2947
4337,13509,6268,14514,5020,3952
4338,9615,15799,16138,8892,10039
4339,14444,12008,7012,2101,16655
4340,17273,15799,9615,15638,2275
4341,9458,9377,306,2851,7119
4342,5404,16695,3763,3278,148
4343,12639,3193,14485,4428,11342
4344,9660,2036,11333,2032,12490
4345,16857,1951,14250,2771,2101
4346,17342,3138,17377,10377,11342
4347,14280,13881,10235,3684,6036
4348,11096,6135,11333,12490,13389
4349,14654,14818,2851,15530,2403
4350,1781,11678,7021,5020,4209
4351,9271,6216,5027,16695,3763
4352,16853,9193,7327,17342,16259
4353,15888,16092,16385,6119,13417
4354,10977,2712,11678,13875,3452
4355,7976,1753,2901,4110,8956
4356,12324,14012,15190,6782,6074
4357,16548,11298,4279,9920,16792
4358,8954,13714,15781,10853,9876
4359,2368,7120,2949,16234,4521
4360,4373,1951,15102,5854,13535
4361,16092,13359,11787,16760,416
4362,6833,3660,15835,6268,1048
4363,6135,11096,11333,12490,10705
4364,1781,13509,7021,6268,15842
4365,16092,12639,3193,4428,11342
4366,7501,7237,6590,4428,11342
4367,6386,3138,14136,184,10377
4368,1951,12575,4305,16019,4428
4369,6386,3138,10377,9673,14065
4370,10605,15478,11756,9324,15442
4371,15273,5282,18,13570,5515
4372,11333,2032,12490,8665,15835
4373,16483,2829,10349,16324,7452
4374,4943,17103,16807,13562,17517
4375,8892,16138,15799,9615,9986
4376,10114,15506,17667,4376,10063
4377,13509,5507,6268,3650,14514
4378,6632,11316,2052,8951,3486
4379,4772,14136,12639,4428,12686
4380,1011,7621,7021,4958,13455
4381,5370,7021,8900,9055,15367
4382,14654,5354,12948,8492,18
4383,5027,4475,11804,3763,354
4384,9615,12941,8419,1138,4428
4385,14442,12585,14837,12012,8600
4386,17259,16031,3181,4239,6445
4387,15888,16092,7119,7371,9661
4388,16830,7397,2771,5327,3278
4389,9193,16385,16259,15140,12542
4390,6386,16092,3138,11333,12490
4391,10114,15506,17667,4376,10063
4392,12575,9289,3745,6093,2939
4393,1833,7111,3657,9899,7109
4394,9415,6112,6034,1661,9573
4395,17478,16220,9167,10114,8632
4396,1833,10419,3300,8665,12639
4397,4373,1951,15102,5854,14655
4398,4564,4567,7176,4566,6268
4399,4254,2435,14136,16383,10715
4400,10718,8693,479,8055,11876
4401,10394,13509,10395,5660,6268
4402,16963,10039,15724,13577,17377
4403,4825,16784,13892,15697,7619
4404,12273,2841,8129,11985,12485
4405,5253,13193,12273,7564,6074
4406,13509,4564,6268,7021,14514
4407,6135,11096,2036,11333,12490
4408,6001,16938,2712,2205,11624
4409,13509,8790,6268,9212,14514
4410,10977,17259,6594,16031,14941
4411,13509,6416,16042,6268,14514
4412,13135,13614,17167,4432,16013
4413,4254,9881,2435,14136,16383
4414,12694,11908,2635,17141,12421
4415,1611,15067,10966,4376,1593
4416,8925,5370,5593,15543,15367
4417,15100,11333,15674,5242,5600
4418,13509,6627,6268,17405,7476
4419,6480,12580,15372,11298,14006
4420,16045,1686,4697,5480,9525
4421,10769,14006,4318,9920,2220
4422,12795,3763,11606,148,5381
4423,5404,16695,3763,148,1546
4424,6386,11333,10377,12694,17326
4425,13509,6268,14514,5020,2098
4426,8380,15506,10114,17667,1686
4427,17273,8892,16138,15638,11121
4428,16138,9615,8892,7049,1138
4429,6386,3138,16259,6662,10377
4430,3138,12490,5391,3763,12694
4431,11269,13453,15258,3904,16807
4432,17273,16138,9615,8503,13433
4433,1951,4373,13295,15102,13433
4434,9615,16138,8892,15638,16385
4435,16254,7147,11298,14006,4279
4436,2786,15856,4428,12686,11342
4437,16695,232,3763,148,5381
4438,16092,3809,15674,5242,10377
4439,16254,7067,2070,12587,1414
4440,15638,8042,7870,4428,12686
4441,12841,15372,12779,7602,2070
4442,8680,8681,4430,7845,12694
4443,16410,5562,9212,8658,4367
4444,352,20,16234,16092,9577
4445,15506,8380,10114,11563,1745
4446,4869,12490,5527,15674,5242
4447,1781,13295,16350,7021,4900
4448,13509,6829,6268,14514,5020
4449,4450,2208,3937,8538,13482
4450,3937,14654,8538,13482,4449
4451,11672,13145,4318,9920,2220
4452,11096,294,11333,2032,12490
4453,10430,5370,12639,9212,14514
4454,14006,12008,7012,14371,2101
4455,7147,15372,14006,4279,10250
4456,15596,4428,9133,11342,12686
4457,11261,5370,3910,10249,14514
4458,10430,5370,6984,9836,11871
4459,4705,13509,5370,3193,3910
4460,12575,2939,4521,3059,4857
4461,10188,13615,11201,4831,17329
4462,4450,14654,14276,3809,2012
4463,17259,16031,3181,4239,6445
4464,8594,13614,13135,11665,16072
4465,13509,16611,15835,6268,5868
4466,2712,7194,4678,2460,1628
4467,13986,9027,4467,13025,12890
4468,13909,15258,1243,5976,16110
4469,1951,4305,16487,10234,10608
4470,6277,4943,15330,2901,6251
4471,9881,6119,9920,13088,7324
4472,13509,6268,5282,14514,5020
4473,6242,3458,6386,3138,3465
4474,3540,11382,14513,10886,15055
4475,4475,11804,16673,5027,7514
4476,6386,3138,10377,11223,9673
4477,13145,7067,15372,4279,4318
4478,16908,11382,15055,2947,17061
4479,16546,13110,3377,12008,2741
4480,13509,347,6268,468,14514
4481,5027,17342,7953,17377,354
4482,1781,13509,7021,5195,1657
4483,1781,7021,354,5282,835
4484,1781,7021,5282,15842,5020
4485,13509,6268,14514,5020,15045
4486,859,15358,13710,2456,6598
4487,216,11121,3077,9852,16655
4488,8333,18,13570,5515,15779
4489,1781,11678,13509,7021,14514
4490,13509,15265,14165,6268,5950
4491,17259,16031,3181,4239,6445
4492,4943,6251,2901,10912,10705
4493,10353,8642,7452,10349,16483
4494,10966,14857,1593,14261,10162
4495,997,10648,6640,6298,11722
4496,1951,5854,7621,5370,3193
4497,13135,13614,9819,17472,8309
4498,6386,17342,3138,17377,10377
4499,13963,7147,9881,15053,8126
4500,13018,4428,11790,12686,11342
4501,1833,15482,7120,10149,12558
4502,16695,16830,7397,5327,3278
4503,16220,9167,9261,11563,9086
4504,9669,3532,12982,13189,10031
4505,12659,3686,11638,5584,13210
4506,17259,16031,3181,4239,6445
4507,4772,14136,12639,4428,12686
4508,10430,7021,15842,18,13570
4509,17259,16031,3181,4239,6445
4510,14654,10430,13121,12639,1487
4511,16138,15799,10039,15638,8522
4512,13145,14654,14276,3931,17542
4513,2104,6386,3138,13470,10377
4514,10287,10111,14851,17609,10622
4515,12575,14442,1951,2939,3809
4516,9615,8892,15799,16138,13583
4517,10039,5013,14721,11103,9213
4518,14371,6657,7324,9980,13661
4519,9167,16220,15478,11563,16464
4520,6386,12674,7260,3138,17576
4521,14716,3059,9324,15442,16392
4522,5253,13193,12273,15190,2841
4523,12795,5027,16695,3763,3278
4524,5253,13193,12273,7564,15190
4525,13509,9094,6268,9592,14514
4526,10419,15482,12447,6068,11963
4527,5027,4475,17342,17377,374
4528,13615,11201,8344,13356,1838
4529,5481,14732,7988,7147,12676
4530,450,3763,148,5048,5054
4531,16695,3763,148,5048,5054
4532,13193,12273,7564,15190,2841
4533,12795,3763,3278,148,5048
4534,9881,4920,10769,15372,16464
4535,6135,11096,11333,12490,8665
4536,8665,5282,9204,3520,10273
4537,9377,15123,9458,2851,7119
4538,4617,752,790,585,6227
4539,14995,9280,2376,9425,16772
4540,6386,15100,3138,6662,10377
4541,843,2949,16234,9577,7501
4542,6386,3138,16259,11581,10377
4543,9069,3138,12435,4985,7501
4544,9881,7147,7067,10250,4318
4545,16853,9193,15140,12473,12542
4546,1951,4305,6947,16019,16487
4547,11944,11945,9565,12084,2065
4548,10419,3300,12647,1487,15821
4549,16092,3193,12639,12686,8084
4550,5931,12554,3547,12556,172
4551,7150,3300,16027,14391,6283
4552,6820,1611,14716,14051,4857
4553,15710,4428,12686,11342,9729
4554,1951,4373,15102,5854,9819
4555,1387,11372,4428,11342,12686
4556,7067,16254,10769,14371,4318
4557,13509,6268,16350,4428,14514
4558,13955,9341,4669,2220,17565
4559,6386,9193,3138,10377,9673
4560,1833,14012,7111,3657,9899
4561,2530,16324,10349,12941,1969
4562,14716,4521,3059,9324,9163
4563,4772,14136,12639,4428,12686
4564,4567,13509,7176,6268,4566
4565,13892,4825,9425,15617,290
4566,12907,4564,10523,10977,17293
4567,4564,7452,2829,16324,16483
4568,16695,294,480,3763,16120
4569,16254,7147,15372,14006,15797
4570,14654,5354,12948,15842,18
4571,13509,6268,14514,15909,5020
4572,15951,12795,232,3763,148
4573,2530,16789,8058,16676,1969
4574,1781,13509,7021,6268,15842
4575,1781,10149,16611,5370,7021
4576,7147,16254,9881,7067,2022
4577,16138,8967,7870,4428,13551
4578,16642,17649,5404,16830,15140
4579,13276,16027,4023,15769,4580
4580,1833,10149,4287,4289,13276
4581,1833,15273,5282,15821,4579
4582,15968,1833,7111,3408,9899
4583,13509,15442,6268,7304,14514
4584,9881,13145,14006,2220,7602
4585,2278,4428,3951,12686,11342
4586,15734,12573,14055,4847,2236
4587,13892,4825,16784,15697,10555
4588,779,13963,2851,13807,8126
4589,16138,9615,16796,12941,4428
4590,8967,9615,4428,11790,11342
4591,7147,13145,9881,16264,14006
4592,15638,8042,4428,12686,11342
4593,11868,8967,1903,15876,13052
4594,2840,2376,9722,2771,3820
4595,8769,15114,10162,16269,10114
4596,11298,17522,2220,16920,7602
4597,6886,5481,753,10761,3062
4598,11852,991,5816,749,2361
4599,830,1136,15046,306,969
4600,14654,5988,15821,4601,2590
4601,14654,5802,12948,15842,15306
4602,12575,9289,3745,2939,306
4603,15888,16092,12332,13417,15867
4604,1951,12575,4305,16019,16487
4605,13135,16138,1951,8892,13614
4606,15713,2678,11298,4279,4318
4607,2376,6422,4152,11991,13939
4608,5253,7564,14624,6074,14551
4609,1833,7120,15482,10149,10951
4610,16863,16220,9167,2016,3364
4611,13614,13135,17167,16013,4305
4612,13986,9027,4467,13025,12890
4613,1781,9261,15808,6463,5871
4614,13963,3138,3763,10377,16321
4615,13509,7452,6268,14514,5020
4616,9011,5640,12339,6988,16270
4617,6386,15903,4538,752,3138
4618,7086,7976,10188,1848,11441
4619,13509,13298,5936,14825,6268
4620,8811,2703,12934,5002,2455
4621,13145,16254,10769,15713,11298
4622,6386,17062,3138,15713,10377
4623,6988,4463,6445,5071,8350
4624,6386,3138,15053,10377,3456
4625,6886,12608,13962,5481,912
4626,6386,3138,10377,9673,14065
4627,17342,17377,8665,12288,12639
4628,7621,11944,13619,11945,2575
4629,3879,13509,16605,6268,12609
4630,1002,15047,10503,1951,9539
4631,12575,2939,306,2913,2851
4632,1833,17702,7371,15821,15979
4633,6386,3138,11520,10377,65
4634,16234,3964,16385,13417,7765
4635,9011,5640,12339,6988,16270
4636,6386,3138,11333,15674,5242
4637,9167,16220,11563,17667,9086
4638,13986,9027,4467,13025,12890
4639,10639,4391,14430,16269,15506
4640,10605,9324,9163,15442,5373
4641,5253,13193,5661,15190,2841
4642,8145,16138,2040,11088,5606
4643,10114,1686,6849,15067,4376
4644,13509,17225,6268,14514,5020
4645,4644,13433,5370,1048,14485
4646,6386,3138,10377,17457,3456
4647,12984,6386,3138,10377,9673
4648,6386,16092,3138,15674,5242
4649,1781,17273,10039,10277,8774
4650,12575,8058,4261,2939,306
4651,6093,4254,7147,10250,13507
4652,12575,16789,13135,2939,306
4653,8380,17166,170,11331,16918
4654,5974,3660,4772,14136,12639
4655,1833,16092,2851,7119,7371
4656,12575,13614,8058,2939,306
4657,9615,4428,12686,11342,16665
4658,6886,6386,3138,5715,7501
4659,1833,16092,2851,7119,7371
4660,1833,15482,7120,10149,7119
4661,1833,16092,2851,7119,7371
4662,1951,4305,16019,16487,10234
4663,15674,5242,7727,14822,16321
4664,15968,5404,7119,7371,13427
4665,4475,11804,16611,15526,1871
4666,13509,6268,2828,14514,15526
4667,3663,9193,15799,8892,17342
4668,15372,12727,5902,3821,6300
4669,13955,9341,17565,14893,7602
4670,6386,17062,3138,10377,9673
4671,6386,16853,15100,3138,15053
4672,6386,16092,12490,15674,5242
4673,13509,6268,14514,5020,8897
4674,6386,16092,11333,12490,15674
4675,7067,16254,9881,15372,14371
4676,16234,2368,6886,16092,9577
4677,6386,3138,16259,2022,10377
4678,4466,4428,11342,12686,16665
4679,2712,4678,4466,4428,11342
4680,1781,13509,2332,7021,15842
4681,3138,11333,15674,5242,10377
4682,1781,13509,7021,6268,15842
4683,14654,5354,8492,15842,18
4684,13145,7067,7147,15372,14371
4685,8333,18,13570,5515,15779
4686,6611,12575,3745,2939,6538
4687,12659,3686,11638,5584,13210
4688,3300,8665,16350,7021,5282
4689,6500,8665,5370,12639,3193
4690,6386,3138,11667,1908,3204
4691,1833,10419,10600,10951,5734
4692,11333,12490,15631,15481,17185
4693,15474,3820,12100,5333,2938
4694,1833,11333,12490,8665,12558
4695,15140,14191,6662,1895,5257
4696,11432,9660,1833,11333,8459
4697,16045,16464,1686,4420,10361
4698,11333,9636,184,12694,1771
4699,16138,6888,15799,9615,8892
4700,8449,9881,4318,2226,12587
4701,16857,2771,12008,7012,11839
4702,9615,15799,8892,9094,15638
4703,7147,10769,15372,4279,4318
4704,2851,12746,3916,2787,10183
4705,12639,3193,4428,11342,8084
4706,16254,14039,4317,12008,7012
4707,1833,3300,10951,15821,18
4708,11333,2032,12490,8665,5370
4709,1833,14924,11333,12490,8665
4710,8079,15190,4884,2841,14624
4711,5253,13193,12273,7564,15190
4712,5253,13193,12273,7564,12734
4713,4475,3620,10058,15526,17701
4714,13145,9881,15797,13088,7324
4715,11261,7335,10932,10924,13983
4716,17342,3138,17377,3809,1138
4717,15102,14941,1138,16829,9687
4718,7067,7147,9881,3809,14371
4719,14055,15734,12573,4847,2236
4720,4254,2435,14371,14136,16383
4721,4131,11298,9920,2220,17297
4722,6135,11096,11333,12490,12694
4723,9415,6112,2432,6034,13989
4724,6632,16784,9722,11876,14376
4725,17273,4475,7516,7397,7557
4726,12575,6093,16789,1951,8058
4727,1951,2939,4305,16019,8895
4728,10563,3300,10430,11398,7021
4729,14716,4521,7674,9890,12683
4730,10039,14721,11103,9213,8522
4731,2851,16350,11790,4428,12686
4732,13145,7147,16254,10769,9920
4733,16092,16385,8455,13417,7119
4734,12575,6093,2939,306,2913
4735,9615,15638,7049,64,4428
4736,6277,5976,8344,15669,8956
4737,3138,11333,12490,15674,5242
4738,13509,5370,3193,12739,5020
4739,15888,16092,975,16385,3903
4740,14737,2706,2003,4207,39
4741,17259,16031,3181,4239,6445
4742,9615,15799,13957,7009,828
4743,16324,2829,7452,10349,16483
4744,16853,9193,16695,8398,16259
4745,16234,14597,2368,1011,13688
4746,15596,15534,4428,10201,11342
4747,9458,9377,306,2851,7119
4748,8967,4428,11342,12686,16665
4749,6386,3138,13955,10377,9673
4750,6386,3138,10377,13926,9673
4751,9193,16853,14972,7766,16259
4752,6386,3138,17097,16655,8989
4753,11473,2831,9506,13752,12701
4754,12575,2939,16092,6031,14225
4755,7147,16254,7067,11298,9920
4756,16092,3138,11333,15674,5242
4757,14924,5404,8665,9136,3642
4758,14926,6754,7870,16176,4428
4759,16695,9723,1008,3278,9857
4760,13509,5574,9141,15518,15720
4761,7147,16254,7067,9881,13145
4762,11096,6135,11333,12490,5242
4763,16857,2771,2101,13593,2938
4764,6093,4254,7067,15372,13507
4765,7147,13145,16254,11298,10250
4766,13509,3876,4794,6268,14514
4767,6386,3809,15674,5242,10377
4768,7067,9881,16254,13145,14006
4769,13509,6268,16024,14514,5020
4770,11096,6135,13220,11333,12490
4771,17259,16031,5745,2947,6445
4772,4305,14136,12639,4428,12686
4773,16092,3138,11333,12490,15674
4774,9193,16853,8398,16259,15140
4775,9193,16853,16259,15140,14401
4776,16254,7067,13145,9881,11713
4777,7147,13145,7067,15713,14654
4778,14279,10241,12245,552,7560
4779,6386,3138,2022,16706,10377
4780,13583,10039,14721,11103,9213
4781,15123,5404,16830,3217,15255
4782,16857,13457,9881,13145,2771
4783,4373,1951,15102,5854,16268
4784,6627,14251,16504,4428,12686
4785,12554,17346,12982,1048,7844
4786,13963,16092,16385,8126,14392
4787,7147,9881,16254,14006,4279
4788,13509,7870,10264,6268,14514
4789,5481,4205,15372,9328,3809
4790,5027,12795,16695,3763,11606
4791,5253,12273,7564,2841,14624
4792,12575,13614,13135,2939,17472
4793,2530,16676,1969,14646,17323
4794,6386,17342,3138,17377,10377
4795,16138,8892,15799,15638,7004
4796,15506,8380,1686,1745,11387
4797,16264,10769,14371,6299,15797
4798,11261,13509,6268,10249,7894
4799,4564,10977,4567,7176,8652
4800,17330,7501,6590,4428,12686
4801,11678,2659,14941,16765,2352
4802,13614,13135,16853,13955,16013
4803,12575,2939,16092,13877,13598
4804,1951,11121,12008,4305,16019
4805,1839,4825,13892,10555,11883
4806,13509,9094,12647,9819,6268
4807,10224,4093,15258,1243,11201
4808,9881,13145,12727,13661,6300
4809,4373,1951,15102,5854,1138
4810,14123,3467,2947,15055,16031
4811,13145,7067,7147,10769,4279
4812,1951,1138,8042,13575,4428
4813,16092,3138,12490,15674,5242
4814,4093,11269,4943,1753,17103
4815,8665,10430,5370,8663,14514
4816,1121,4428,4200,1406,12686
4817,13963,5034,2851,13807,8126
4818,6277,15258,10977,11269,7976
4819,16254,10105,15797,14976,4793
4820,6386,15100,3138,12993,14251
4821,6386,6886,3138,752,7501
4822,13509,16546,17422,6268,10773
4823,8333,16350,7021,13571,3191
4824,10114,15067,10966,4376,12150
4825,4825,16784,13892,15697,7619
4826,16410,4983,9212,240,1100
4827,4943,8344,14941,16765,8956
4828,1833,7120,15482,10149,7119
4829,1833,15482,7120,10149,7119
4830,8443,10366,17244,16199,11417
4831,13615,10261,8464,10912,16962
4832,7147,4623,15372,10250,7204
4833,8449,15222,15797,14033,5573
4834,11096,6135,11333,12490,12661
4835,10419,15482,2032,8665,13619
4836,4564,13295,4567,2844,2332
4837,6277,11269,5976,4943,13036
4838,17342,17449,17377,15205,10377
4839,12941,4428,11790,2966,11342
4840,4093,15258,4943,17103,10912
4841,13509,6268,14238,14514,1599
4842,8042,4428,13551,12686,11342
4843,10769,14006,14833,4279,14371
4844,7067,15713,3160,15222,15797
4845,1745,6849,4376,16652,16804
4846,1833,11333,12490,8665,12558
4847,12573,4847,2236,14055,15734
4848,13654,4121,1664,15258,5976
4849,11620,4506,17259,2375,4239
4850,1833,2368,7120,12620,7377
4851,6386,15674,5242,9431,10377
4852,6386,3138,13955,11546,184
4853,5404,8665,12558,9204,14822
4854,997,6616,6298,6640,11225
4855,6135,11096,11333,12490,12558
4856,1833,7111,3657,9899,7109
4857,12575,2939,14051,4521,3059
4858,4001,9146,15442,2587,9890
4859,1951,12575,2939,4305,16019
4860,11096,6135,11333,14818,12490
4861,17273,9660,10419,7621,2032
4862,15888,16092,16385,13417,7119
4863,13963,3138,3763,148,14973
4864,13963,6386,14898,3763,12455
4865,4254,2435,14136,13609,16383
4866,8892,1951,16138,9606,4428
4867,2859,6386,2858,7091,7092
4868,16857,2771,15372,10250,2101
4869,16234,524,16092,9577,3373
4870,4020,8225,13674,106,7213
4871,13614,15799,9615,8892,13135
4872,13509,552,6268,14514,5020
4873,15799,8892,8042,4428,12995
